Биграмма,Частота
"('погрузчик', 'специальный')",4
"('вакуумный', 'подметальный')",4
"('самоходный', 'колесный')",4
"('стреловой', 'самоходный')",4
"('самоходный', 'телескопический')",4
"('экскаватор', 'гидравлический')",4
"('сортировочная', 'установка')",4
"('фургон', 'хлебный')",3
"('установка', 'насосный')",3
"('фронтальный', 'вилочный')",3
"('кму', 'сортиментовоз')",3
"('седельный', 'кму')",3
"('контейнеровоз', 'прицеп')",3
"('вилочный', 'электропогрузчик')",3
"('погрузчик', 'прицеп')",3
"('разметочный', 'машина')",3
"('крановый', 'машина')",3
"('буровой', 'машина')",3
"('коммунальный', 'машина')",3
"('машина', 'машина')",3
"('кран', 'самоходный')",3
"('прицеп', 'самосвал')",3
"('агрегат', 'депарафинизация')",3
"('установка', 'смесительный')",3
"('экскаватор', 'перегружатель')",3
"('экскаватор', 'планировщик')",3
"('платформа', 'буровой')",3
"('перевозка', 'инвалид')",3
"('фургон', 'перевозка')",3
"('сортиментовоз', 'гму')",3
"('буровой', 'станок')",3
"('пожарный', 'автомобиль')",3
"('автомобиль', 'перевозка')",3
"('компрессорный', 'станция')",3
"('коленчатый', 'подъемник')",3
"('грузовой', 'рефрижератор')",3
"('очистка', 'канализационный')",3
"('канализационный', 'сеть')",3
"('прицеп', 'изотермический')",3
"('коммунальный', 'строительный')",3
"('электрический', 'подъемник')",3
"('смесительный', 'зарядный')",3
"('пассажирский', 'транспортный')",3
"('грузовой', 'тягач')",3
"('бортовой', 'автомобиль')",3
"('изотермический', 'автомобиль')",3
"('грузовой', 'кму')",3
"('фургон', 'специализированный')",3
"('специальный', 'седельный')",3
"('погрузчик', 'вилочный')",3
"('назначение', 'специальный')",3
"('специальный', 'мусоровоз')",3
"('мусоровоз', 'задний')",3
"('задний', 'загрузка')",3
"('машина', 'прицеп')",3
"('дорожный', 'каток')",3
"('специальный', 'специализированный')",3
"('специализированный', 'грузовой')",3
"('мобильный', 'дробильный')",3
"('бурильный', 'установка')",3
"('погрузчик', 'погрузчик')",3
"('горизонтально', 'направлять')",3
"('бурение', 'специальный')",3
"('подъемник', 'ножничный')",3
"('агрегат', 'подъемный')",3
"('подъемный', 'ремонт')",3
"('перевозка', 'временный')",3
"('временный', 'хранение')",3
"('хранение', 'взрывчатый')",3
"('взрывчатый', 'вещество')",3
"('установка', 'мобильный')",3
"('колесный', 'специальный')",3
"('установка', 'сваебойный')",3
"('специальный', 'бортовой')",3
"('щековый', 'дробилка')",3
"('бортовой', 'тент')",3
"('установка', 'специализированный')",3
"('манипулятор', 'специализированный')",3
"('специальный', 'автоэвакуатор')",3
"('дорожный', 'самоходный')",3
"('бетоносмесительный', 'машина')",3
"('функция', 'самозагрузка')",3
"('погрузчик', 'малогабаритный')",3
"('полуприцеп', 'грузовой')",3
"('сжиженный', 'углеводородный')",3
"('углеводородный', 'газ')",3
"('специализированный', 'рефрижератор')",3
"('одноковшовый', 'фронтальный')",3
"('лесовозный', 'гм')",3
"('вакуумный', 'специальный')",3
"('колесный', 'автомобиль')",3
"('специальный', 'мультилифт')",3
"('машина', 'комбинировать')",3
"('установка', 'горизонтальный')",3
"('машина', 'грузовой')",3
"('погрузчик', 'универсальный')",3
"('бортовый', 'платформа')",3
"('каток', 'специальный')",3
"('автоцистерна', 'специальный')",3
"('комбайн', 'кормоуборочный')",3
"('передвижной', 'парогенераторный')",3
"('перевозка', 'крупногабаритный')",3
"('автомобиль', 'металловоз')",3
"('самоходный', 'буровой')",3
"('дорожный', 'мастер')",3
"('подъемник', 'коленчатый')",3
"('фронтальный', 'специализированный')",3
"('сортиментовоз', 'гм')",3
"('универсальный', 'машина')",3
"('коммунальный', 'хозяйство')",3
"('бортовой', 'кран')",3
"('самоходный', 'экскаватор')",3
"('гусеничный', 'специализированный')",3
"('специальный', 'перевозка')",3
"('дизельный', 'насосный')",3
"('перевозка', 'зерно')",3
"('зерно', 'комбикорм')",3
"('погрузчик', 'специализированный')",3
"('комбинированный', 'дорожный')",3
"('машина', 'специализированный')",3
"('автопогрузчик', 'специальный')",3
"('полуприцеп', 'перевозка')",3
"('автомобиль', 'вахтовый')",3
"('агрегат', 'цементировочный')",3
"('специальный', 'автобус')",3
"('машина', 'самоходный')",3
"('специальный', 'подъемник')",3
"('хлебобулочный', 'изделие')",3
"('машина', 'погрузочный')",3
"('мобильный', 'сортировочная')",3
"('дорожный', 'разметочный')",3
"('бортовой', 'тентованный')",3
"('колесный', 'малогабаритный')",3
"('комплекс', 'специальный')",3
"('уборочный', 'машина')",3
"('специальный', 'эвакуатор')",3
"('мобильный', 'подъемник')",3
"('перевозка', 'скот')",3
"('вибрационный', 'каток')",3
"('специальный', 'фургон')",3
"('груз', 'полуприцеп')",3
"('установка', 'буровой')",3
"('роторный', 'буровой')",3
"('автопогрузчик', 'колесный')",3
"('дом', 'передвижной')",3
"('одноковшовый', 'самоходный')",3
"('установка', 'гусеничный')",3
"('поворот', 'самоходный')",3
"('подъемник', 'самоходный')",3
"('колесный', 'одноковшовый')",3
"('асмп', 'класс')",3
"('подьемник', 'рабочий')",3
"('изотермический', 'фургон')",2
"('фургон', 'промтоварный')",2
"('фургон', 'цельнометаллический')",2
"('перевозка', 'ребенок')",2
"('автобус', 'городской')",2
"('автоцистерна', 'пищевой')",2
"('автомобиль', 'скорый')",2
"('кму', 'лесовоз')",2
"('мультилифт', 'кму')",2
"('кму', 'самосвал')",2
"('эвакуатор', 'кму')",2
"('дизель', 'генератор')",2
"('промтоварный', 'прицеп')",2
"('прицеп', 'самосвальный')",2
"('самосвальный', 'прицеп')",2
"('прицеп', 'цистерна')",2
"('прицеп', 'контейнеровоз')",2
"('прицеп', 'лесовоз')",2
"('прицепной', 'установка')",2
"('прицеп', 'сортиментовоз')",2
"('сортиментовоз', 'полуприцеп')",2
"('полуприцеп', 'изотермический')",2
"('полуприцеп', 'самосвальный')",2
"('самосвальный', 'полуприцеп')",2
"('полуприцеп', 'рефрижератор')",2
"('рефрижератор', 'полуприцеп')",2
"('экскаватор', 'многоковшовый')",2
"('бульдозер', 'колесный')",2
"('каток', 'самоходный')",2
"('машина', 'уборка')",2
"('кран', 'трубоукладчик')",2
"('телескопический', 'автопогрузчик')",2
"('тракторный', 'самосвальный')",2
"('прицеп', 'зерновоз')",2
"('депарафинизация', 'скважина')",2
"('прицеп', 'измельчитель')",2
"('прицеп', 'пескоразбрасыватель')",2
"('смеситель', 'кормораздатчик')",2
"('сортировочный', 'установка')",2
"('валочный', 'пакетировать')",2
"('шторный', 'прицеп')",2
"('полуприцеп', 'платформа')",2
"('машина', 'илососный')",2
"('кму', 'ломовоз')",2
"('бункер', 'перегрузчик')",2
"('подъемник', 'каротажный')",2
"('автоцистерна', 'вакуумный')",2
"('портальный', 'погрузчик')",2
"('баровой', 'грунторезный')",2
"('грунторезный', 'машина')",2
"('автоцистерна', 'пожарный')",2
"('трактор', 'погрузчик')",2
"('погрузчик', 'строительный')",2
"('машина', 'полуприцеп')",2
"('кислотный', 'обработка')",2
"('обработка', 'скважина')",2
"('машина', 'строительство')",2
"('строительство', 'содержание')",2
"('содержание', 'дорога')",2
"('гидроборт', 'прицеп')",2
"('изотермический', 'бортовой')",2
"('установка', 'полуприцеп')",2
"('полуприцеп', 'контейнеровоз')",2
"('автофургон', 'рефрижератор')",2
"('установка', 'кран')",2
"('органический', 'удобрение')",2
"('полуприцеп', 'тяжеловоз')",2
"('кму', 'грузовой')",2
"('грузовой', 'специальный')",2
"('грузовой', 'седельный')",2
"('седельный', 'автомобиль')",2
"('тягач', 'кму')",2
"('фургон', 'кран')",2
"('передвижной', 'мастерская')",2
"('машина', 'каток')",2
"('ворота', 'погрузчик')",2
"('полуприцеп', 'общий')",2
"('колесный', 'мини')",2
"('манипулятор', 'автомобиль')",2
"('перевозка', 'продукт')",2
"('продукт', 'питание')",2
"('специальный', 'кму')",2
"('специализированный', 'бортовой')",2
"('специальный', 'экскаватор')",2
"('погрузчик', 'кран')",2
"('ход', 'полуприцеп')",2
"('передвижной', 'лаборатория')",2
"('лаборатория', 'специальный')",2
"('машина', 'строительный')",2
"('строительный', 'бурильный')",2
"('ремонт', 'бурение')",2
"('бурение', 'скважина')",2
"('скважина', 'специализированный')",2
"('измельчитель', 'специальный')",2
"('вибрационный', 'двухосный')",2
"('установка', 'горизонтально')",2
"('вещество', 'изделие')",2
"('изделие', 'специальный')",2
"('мобильный', 'медицинский')",2
"('буровой', 'самоходный')",2
"('установка', 'измельчитель')",2
"('бурильный', 'машина')",2
"('полноповоротный', 'погрузчик')",2
"('экскаватор', 'грузовой')",2
"('грузовой', 'автомобиль')",2
"('назначение', 'специализированный')",2
"('перевозка', 'животное')",2
"('дробильный', 'сортировочный')",2
"('строительный', 'машина')",2
"('специальный', 'автолавка')",2
"('машина', 'смесительный')",2
"('стабилизация', 'регенерация')",2
"('регенерация', 'дорожный')",2
"('дорожный', 'полотно')",2
"('ход', 'специальный')",2
"('литой', 'асфальт')",2
"('шахтный', 'самосвал')",2
"('специальный', 'автобетоносмеситель')",2
"('рефрижератор', 'грузовой')",2
"('автомобильный', 'бортовой')",2
"('самоходный', 'вибрационный')",2
"('машина', 'функция')",2
"('универсальный', 'погрузчик')",2
"('колесный', 'полуприцеп')",2
"('тягач', 'специальный')",2
"('специальный', 'мастерская')",2
"('мастерская', 'кму')",2
"('перевозка', 'сжиженный')",2
"('специальный', 'лаборатория')",2
"('рефрижератор', 'машина')",2
"('машина', 'выемка')",2
"('прицеп', 'грузовой')",2
"('комбайн', 'специализированный')",2
"('специальный', 'обслуживание')",2
"('обслуживание', 'нефтяной')",2
"('нефтяной', 'газовый')",2
"('газовый', 'скважина')",2
"('вибрационный', 'автомобиль')",2
"('бортовой', 'шторный')",2
"('шторный', 'механизм')",2
"('служба', 'специальный')",2
"('борт', 'самоходный')",2
"('самоходный', 'бурильный')",2
"('погрузчик', 'штабелер')",2
"('погрузчик', 'машина')",2
"('машина', 'универсальный')",2
"('тент', 'ворота')",2
"('изотермический', 'грузоподъемный')",2
"('перегружатель', 'колесный')",2
"('комбинировать', 'специальный')",2
"('горизонтальный', 'направлять')",2
"('трактор', 'специализированный')",2
"('пищевой', 'продукт')",2
"('манипулятор', 'погрузчик')",2
"('фронтальный', 'телескопический')",2
"('коммунальный', 'дорожный')",2
"('лесовозный', 'кму')",2
"('установка', 'промысловый')",2
"('промысловый', 'паровой')",2
"('паровой', 'передвижной')",2
"('самосвал', 'гму')",2
"('погрузчик', 'каток')",2
"('комбайн', 'зерноуборочный')",2
"('стреловой', 'гусеничный')",2
"('крупногабаритный', 'тяжеловесный')",2
"('тяжеловесный', 'груз')",2
"('груз', 'специализированный')",2
"('автоцистерна', 'перевозка')",2
"('металловоз', 'кму')",2
"('кму', 'самоходный')",2
"('сортиментовоз', 'гидроманипулятор')",2
"('специальный', 'коммунальный')",2
"('электропогрузчик', 'вилочный')",2
"('одноковшовый', 'специальный')",2
"('жидкость', 'подъемник')",2
"('гидравлический', 'специальный')",2
"('тракторный', 'сельскохозяйственный')",2
"('автопогрузчик', 'агрегат')",2
"('агрегат', 'сварочный')",2
"('сварочный', 'самоходный')",2
"('изотермический', 'специализированный')",2
"('бортовой', 'тентованый')",2
"('рефрижератор', 'специальный')",2
"('специальный', 'автоцистерна')",2
"('передвижной', 'дизельный')",2
"('насосный', 'установка')",2
"('стреловой', 'кран')",2
"('бульдозер', 'гусеничный')",2
"('самосвал', 'специализированный')",2
"('специализированный', 'цистерна')",2
"('гм', 'автомобиль')",2
"('сваевдавливать', 'копер')",2
"('грузовой', 'изотермический')",2
"('подземный', 'работа')",2
"('промышленный', 'специализированный')",2
"('специализированный', 'лесовоз')",2
"('колесный', 'фронтальный')",2
"('автомобиль', 'медицинский')",2
"('медицинский', 'служба')",2
"('сортиментовоз', 'автомобиль')",2
"('специальный', 'рефрижератор')",2
"('погрузчик', 'электрический')",2
"('многофункциональный', 'погрузчик')",2
"('машина', 'очистка')",2
"('перевозка', 'груз')",2
"('платформа', 'кму')",2
"('вилочный', 'дизельный')",2
"('дизельный', 'автопогрузчик')",2
"('газовый', 'конденсат')",2
"('материал', 'машина')",2
"('самоходный', 'прицеп')",2
"('сельскохозяйственный', 'автомобиль')",2
"('специальный', 'сортиментовоз')",2
"('гусеничный', 'прицеп')",2
"('изотермический', 'специальный')",2
"('роспуск', 'лесовозный')",2
"('лесовозный', 'специальный')",2
"('снегоочиститель', 'шнекороторный')",2
"('гусеничный', 'вездеход')",2
"('электрический', 'ричтрак')",2
"('подъемник', 'автомобильный')",2
"('гусеничный', 'трелевочный')",2
"('трелевочный', 'специальный')",2
"('самосвал', 'специальный')",2
"('оснащать', 'подъемник')",2
"('бурильный', 'шнековый')",2
"('шнековый', 'самоходный')",2
"('автомобиль', 'кран')",2
"('самоходный', 'опрыскиватель')",2
"('карьерный', 'самосвал')",2
"('специальный', 'крюковой')",2
"('смесительный', 'гидратация')",2
"('гидратация', 'смесь')",2
"('барабанный', 'просеиватель')",2
"('раздатчик', 'корм')",2
"('специальный', 'транспортный')",2
"('бульдозерный', 'оборудование')",2
"('оборудование', 'погрузчик')",2
"('колесный', 'вилочный')",2
"('перевозка', 'хлебобулочный')",2
"('машина', 'каналопромывочный')",2
"('мобильный', 'буровой')",2
"('трактор', 'малогабаритный')",2
"('самоходный', 'бетоносмесительный')",2
"('кормоуборочный', 'самоходный')",2
"('прицеп', 'тяжеловоз')",2
"('энергетический', 'самоходный')",2
"('самоходный', 'разбрасыватель')",2
"('фургон', 'специальный')",2
"('строительный', 'фронтальный')",2
"('гусеничный', 'кран')",2
"('передвижной', 'компрессорный')",2
"('подъемник', 'автомобиль')",2
"('самоходный', 'каток')",2
"('тандемный', 'вибрационный')",2
"('платформа', 'специализированный')",2
"('прицеп', 'фургон')",2
"('перевозка', 'автомобиль')",2
"('автомобиль', 'автомобиль')",2
"('дизельный', 'погрузчик')",2
"('специальный', 'мастерский')",2
"('передвижной', 'кму')",2
"('специализированный', 'контейнеровоз')",2
"('тракторный', 'подметальный')",2
"('каток', 'машина')",2
"('трактор', 'бульдозерный')",2
"('кран', 'гусеничный')",2
"('машина', 'гусеничный')",2
"('цементировочный', 'специальный')",2
"('сваебойный', 'установка')",2
"('автопогрузчик', 'дизельный')",2
"('самоходный', 'вилочный')",2
"('дорожный', 'фреза')",2
"('машина', 'лесной')",2
"('распашной', 'ворот')",2
"('мобильный', 'офис')",2
"('тракторный', 'универсальный')",2
"('универсальный', 'специализированный')",2
"('вакуумный', 'машина')",2
"('бетоносмеситель', 'самозагрузка')",2
"('специальный', 'бункер')",2
"('подъемник', 'специальный')",2
"('погрузчик', 'полноповоротный')",2
"('неповоротный', 'отвал')",2
"('полноповоротный', 'экскаватор')",2
"('дизельный', 'вилочный')",2
"('вездеход', 'специализированный')",2
"('вибрационный', 'комбинированный')",2
"('копер', 'гусеничный')",2
"('сельскохозяйственный', 'работа')",2
"('передвижной', 'прицеп')",2
"('прицеп', 'здание')",2
"('здание', 'мобильный')",2
"('самоходный', 'машина')",2
"('трактор', 'специальный')",2
"('моторный', 'подогреватель')",2
"('подметальный', 'уборочная')",2
"('кму', 'машина')",2
"('установка', 'экскаватор')",2
"('гидравлический', 'гусеничный')",2
"('подъемник', 'экскаватор')",2
"('взрывчатый', 'материал')",2
"('комбайн', 'картофелеуборочный')",2
"('гусеничный', 'гидравлический')",2
"('роторный', 'дробилка')",2
"('полноповоротный', 'гусеничный')",2
"('вилочный', 'самоходный')",2
"('подъемник', 'телескопический')",2
"('сельскохозяйственный', 'назначение')",2
"('коленчатый', 'самоходный')",2
"('дорожный', 'тандемный')",2
"('назначение', 'полуприцеп')",2
"('гидравлический', 'полноповоротный')",2
"('ремонт', 'скважина')",2
"('скважина', 'колесный')",2
"('экскаватор', 'самоходный')",2
"('погрузчик', 'гусеничный')",2
"('грохот', 'экскаватор')",2
"('платформа', 'передвижной')",2
"('передвижной', 'механизировать')",2
"('гусеничный', 'полноповоротный')",2
"('полноповоротный', 'полуприцеп')",2
"('подъемный', 'рабочий')",2
"('мобильный', 'ножничный')",2
"('стрела', 'машина')",2
"('самоходный', 'самоходный')",2
"('изотермический', 'подъемник')",2
"('малогабаритный', 'полуприцеп')",2
"('сельскохозяйственный', 'колесный')",2
"('мобильный', 'подьемник')",2
"('платформа', 'коленчатый')",2
"('коленчатый', 'стрела')",2
"('ножничный', 'колесный')",2
"('колесный', 'самоходный')",2
"('погрузчик', 'дизельный')",2
"('самоходный', 'бетоносмеситель')",2
"('штабелер', 'электрический')",2
"('гусеничный', 'мини')",2
"('автопогрузчик', 'телескопический')",2
"('бортовой', 'пикап')",1
"('пикап', 'бронированный')",1
"('бронированный', 'фургон')",1
"('фургон', 'грузопассажирский')",1
"('грузопассажирский', 'фургон')",1
"('промтоварный', 'фургон')",1
"('хлебный', 'фургон')",1
"('цельнометаллический', 'фургон')",1
"('фургон', 'седельный')",1
"('тягач', 'багги')",1
"('багги', 'автобус')",1
"('ребенок', 'вахтовый')",1
"('вахтовый', 'автобус')",1
"('городской', 'автобус')",1
"('автобус', 'междугородний')",1
"('междугородний', 'автобус')",1
"('автобус', 'ритуальный')",1
"('ритуальный', 'автобус')",1
"('автобус', 'туристический')",1
"('туристический', 'автобус')",1
"('автобус', 'автобетоновоз')",1
"('автобетоновоз', 'автобетононасос')",1
"('автобетононасос', 'автобетоносмеситель')",1
"('автобетоносмеситель', 'автогудронатор')",1
"('автогудронатор', 'автоцистерна')",1
"('автоцистерна', 'автоцистерна')",1
"('автоцистерна', 'нефтепродукт')",1
"('нефтепродукт', 'автоцистерна')",1
"('автоцистерна', 'сг')",1
"('сг', 'автоцистерна')",1
"('пищевой', 'прицеп')",1
"('прицеп', 'рефрижератор')",1
"('рефрижератор', 'кормовоз')",1
"('кормовоз', 'лесовоз')",1
"('лесовоз', 'мусоровоз')",1
"('мусоровоз', 'сортиментовоз')",1
"('сортиментовоз', 'установка')",1
"('насосный', 'цементировочный')",1
"('цементировочный', 'агрегат')",1
"('агрегат', 'катафалк')",1
"('катафалк', 'санитарный')",1
"('санитарный', 'автомобиль')",1
"('скорый', 'помощь')",1
"('помощь', 'автокран')",1
"('автокран', 'бурильный')",1
"('крановый', 'тс')",1
"('тс', 'фронтальный')",1
"('автопогрузчик', 'маслозаправщик')",1
"('маслозаправщик', 'топливозаправщик')",1
"('топливозаправщик', 'аварийный')",1
"('аварийный', 'автомобиль')",1
"('автомобиль', 'автолаборатория')",1
"('автолаборатория', 'автолавка')",1
"('автолавка', 'автомастерская')",1
"('автомастерская', 'автомобиль')",1
"('специальный', 'парогенераторный')",1
"('установка', 'автоподъемник')",1
"('автоподъемник', 'платформа')",1
"('платформа', 'бортовой')",1
"('кму', 'автомастерская')",1
"('автомастерская', 'кму')",1
"('кму', 'мультилифт')",1
"('кму', 'тягач')",1
"('кму', 'эвакуатор')",1
"('эвакуатор', 'эвакуатор')",1
"('прицеп', 'дизель')",1
"('генератор', 'прицеп')",1
"('прицеп', 'компрессор')",1
"('компрессор', 'прицеп')",1
"('прицеп', 'промтоварный')",1
"('прицеп', 'инсинератор')",1
"('инсинератор', 'прицеп')",1
"('прицеп', 'трейлер')",1
"('трейлер', 'жатка')",1
"('жатка', 'прицеп')",1
"('цистерна', 'прицеп')",1
"('лесовоз', 'прицепной')",1
"('установка', 'ремонт')",1
"('ремонт', 'дорога')",1
"('дорога', 'прицеп')",1
"('роспуск', 'прицеп')",1
"('изотермический', 'полуприцеп')",1
"('полуприцеп', 'автовоз')",1
"('автовоз', 'полуприцеп')",1
"('полуприцеп', 'зерновоз')",1
"('зерновоз', 'квадроцикл')",1
"('квадроцикл', 'полуприцеп')",1
"('полуприцеп', 'лесовоз')",1
"('лесовоз', 'полуприцеп')",1
"('полуприцеп', 'панелевоз')",1
"('панелевоз', 'полуприцеп')",1
"('полуприцеп', 'птицевоз')",1
"('птицевоз', 'полуприцеп')",1
"('полуприцеп', 'скотовоз')",1
"('скотовоз', 'полуприцеп')",1
"('полуприцеп', 'сортиментовоз')",1
"('полуприцеп', 'стекловоз')",1
"('стекловоз', 'полуприцеп')",1
"('полуприцеп', 'трал')",1
"('трал', 'полуприцеп')",1
"('полуприцеп', 'тушевоз')",1
"('тушевоз', 'полуприцеп')",1
"('полуприцеп', 'цветовоз')",1
"('цветовоз', 'полуприцеп')",1
"('полуприцеп', 'цементовоз')",1
"('цементовоз', 'полуприцеп')",1
"('цистерна', 'мультилифт')",1
"('мультилифт', 'крюковой')",1
"('погрузчик', 'полуприцеп')",1
"('полуприцеп', 'щеповоз')",1
"('щеповоз', 'вилочный')",1
"('электропогрузчик', 'самосвал')",1
"('самосвал', 'ричстакер')",1
"('ричстакер', 'ричтрак')",1
"('ричтрак', 'погрузчик')",1
"('прицеп', 'ломовоз')",1
"('ломовоз', 'электротележка')",1
"('электротележка', 'электроштабелер')",1
"('электроштабелер', 'коммунальный')",1
"('коммунальный', 'трактор')",1
"('трактор', 'трактор')",1
"('трактор', 'борона')",1
"('борона', 'комбайн')",1
"('комбайн', 'кормораздатчик')",1
"('кормораздатчик', 'косилка')",1
"('косилка', 'культиватор')",1
"('культиватор', 'машина')",1
"('внесение', 'удобрение')",1
"('удобрение', 'опрыскиватель')",1
"('опрыскиватель', 'очиститель')",1
"('очиститель', 'ворох')",1
"('ворох', 'плуг')",1
"('плуг', 'сеялка')",1
"('сеялка', 'самосвал')",1
"('самосвал', 'сочленять')",1
"('сочленять', 'дреноукладчик')",1
"('дреноукладчик', 'каналокопатель')",1
"('каналокопатель', 'траншеекопатель')",1
"('траншеекопатель', 'экскаватор')",1
"('многоковшовый', 'экскаватор')",1
"('гусеничный', 'бульдозер')",1
"('колесный', 'бульдозер')",1
"('бульдозер', 'грейдер')",1
"('грейдер', 'скрепер')",1
"('скрепер', 'каток')",1
"('каток', 'полуприцепной')",1
"('полуприцепной', 'каток')",1
"('каток', 'прицепной')",1
"('прицепной', 'каток')",1
"('самоходный', 'асфальтоукладчик')",1
"('асфальтоукладчик', 'бетоносмеситель')",1
"('бетоносмеситель', 'разметочный')",1
"('машина', 'растворонасос')",1
"('растворонасос', 'фреза')",1
"('фреза', 'дорожный')",1
"('дорожный', 'бурильный')",1
"('машина', 'буровой')",1
"('машина', 'копер')",1
"('копер', 'форвардер')",1
"('форвардер', 'харвестер')",1
"('харвестер', 'коммунальный')",1
"('уборка', 'помещение')",1
"('помещение', 'газовый')",1
"('газовый', 'погрузчик')",1
"('погрузчик', 'башенный')",1
"('башенный', 'кран')",1
"('самоходный', 'кран')",1
"('трубоукладчик', 'мини')",1
"('автопогрузчик', 'мотоцикл')",1
"('мотоцикл', 'экскаватор')",1
