Триграмма,Частота
"('перевозка', 'автомобиль', 'автомобиль')",2
"('специальный', 'мастерский', 'передвижной')",2
"('мастерский', 'передвижной', 'кму')",2
"('средство', 'перевозка', 'нефтепродукт')",2
"('вакуумный', 'подметальный', 'уборочный')",2
"('агрегат', 'цементировочный', 'специальный')",2
"('полуприцеп', 'перевозка', 'скот')",2
"('машина', 'дорожный', 'разметочный')",2
"('специальный', 'мобильный', 'офис')",2
"('снегоболотоход', 'колесный', 'малогабаритный')",2
"('самоходный', 'колесный', 'погрузчик')",2
"('подъемник', 'специальный', 'многофункциональный')",2
"('роторный', 'буровой', 'установка')",2
"('бортовой', 'платформа', 'тент')",2
"('платформа', 'тент', 'специальный')",2
"('специальный', 'автобус', 'перевозка')",2
"('дом', 'передвижной', 'прицеп')",2
"('передвижной', 'прицеп', 'здание')",2
"('прицеп', 'здание', 'мобильный')",2
"('машина', 'вакуумный', 'подметальный')",2
"('экскаватор', 'гидравлический', 'гусеничный')",2
"('гидравлический', 'гусеничный', 'ход')",2
"('стреловой', 'самоходный', 'гусеничный')",2
"('полноповоротный', 'гусеничный', 'экскаватор')",2
"('каток', 'дорожный', 'тандемный')",2
"('общий', 'назначение', 'полуприцеп')",2
"('бортовый', 'поворот', 'самоходный')",2
"('самоходный', 'установка', 'горизонтальный')",2
"('ремонт', 'скважина', 'колесный')",2
"('самоходный', 'телескопический', 'погрузчик')",2
"('рабочий', 'платформа', 'передвижной')",2
"('платформа', 'передвижной', 'механизировать')",2
"('подъемный', 'рабочий', 'платформа')",2
"('экскаватор', 'одноковшовый', 'полноповоротный')",2
"('экскаватор', 'колесный', 'одноковшовый')",2
"('колесный', 'одноковшовый', 'полноповоротный')",2
"('фургон', 'изотермический', 'подъемник')",2
"('фронтальный', 'погрузчик', 'телескопический')",2
"('погрузчик', 'телескопический', 'стрела')",2
"('мобильный', 'сортировочная', 'установка')",2
"('трактор', 'сельскохозяйственный', 'колесный')",2
"('мобильный', 'подьемник', 'рабочий')",2
"('рабочий', 'платформа', 'коленчатый')",2
"('платформа', 'коленчатый', 'стрела')",2
"('специализированный', 'прицеп', 'изотермический')",2
"('грузовой', 'бортовой', 'пикап')",1
"('бортовой', 'пикап', 'бронированный')",1
"('пикап', 'бронированный', 'фургон')",1
"('бронированный', 'фургон', 'грузопассажирский')",1
"('фургон', 'грузопассажирский', 'фургон')",1
"('грузопассажирский', 'фургон', 'изотермический')",1
"('фургон', 'изотермический', 'фургон')",1
"('изотермический', 'фургон', 'промтоварный')",1
"('фургон', 'промтоварный', 'фургон')",1
"('промтоварный', 'фургон', 'хлебный')",1
"('фургон', 'хлебный', 'фургон')",1
"('хлебный', 'фургон', 'цельнометаллический')",1
"('фургон', 'цельнометаллический', 'фургон')",1
"('цельнометаллический', 'фургон', 'седельный')",1
"('фургон', 'седельный', 'тягач')",1
"('седельный', 'тягач', 'багги')",1
"('тягач', 'багги', 'автобус')",1
"('багги', 'автобус', 'перевозка')",1
"('перевозка', 'ребенок', 'вахтовый')",1
"('ребенок', 'вахтовый', 'автобус')",1
"('вахтовый', 'автобус', 'городской')",1
"('автобус', 'городской', 'автобус')",1
"('городской', 'автобус', 'междугородний')",1
"('автобус', 'междугородний', 'автобус')",1
"('междугородний', 'автобус', 'ритуальный')",1
"('автобус', 'ритуальный', 'автобус')",1
"('ритуальный', 'автобус', 'туристический')",1
"('автобус', 'туристический', 'автобус')",1
"('туристический', 'автобус', 'автобетоновоз')",1
"('автобус', 'автобетоновоз', 'автобетононасос')",1
"('автобетоновоз', 'автобетононасос', 'автобетоносмеситель')",1
"('автобетононасос', 'автобетоносмеситель', 'автогудронатор')",1
"('автобетоносмеситель', 'автогудронатор', 'автоцистерна')",1
"('автогудронатор', 'автоцистерна', 'автоцистерна')",1
"('автоцистерна', 'автоцистерна', 'нефтепродукт')",1
"('автоцистерна', 'нефтепродукт', 'автоцистерна')",1
"('нефтепродукт', 'автоцистерна', 'сг')",1
"('автоцистерна', 'сг', 'автоцистерна')",1
"('сг', 'автоцистерна', 'пищевой')",1
"('автоцистерна', 'пищевой', 'прицеп')",1
"('пищевой', 'прицеп', 'рефрижератор')",1
"('прицеп', 'рефрижератор', 'кормовоз')",1
"('рефрижератор', 'кормовоз', 'лесовоз')",1
"('кормовоз', 'лесовоз', 'мусоровоз')",1
"('лесовоз', 'мусоровоз', 'сортиментовоз')",1
"('мусоровоз', 'сортиментовоз', 'установка')",1
"('сортиментовоз', 'установка', 'насосный')",1
"('установка', 'насосный', 'цементировочный')",1
"('насосный', 'цементировочный', 'агрегат')",1
"('цементировочный', 'агрегат', 'катафалк')",1
"('агрегат', 'катафалк', 'санитарный')",1
"('катафалк', 'санитарный', 'автомобиль')",1
"('санитарный', 'автомобиль', 'скорый')",1
"('автомобиль', 'скорый', 'помощь')",1
"('скорый', 'помощь', 'автокран')",1
"('помощь', 'автокран', 'бурильный')",1
"('автокран', 'бурильный', 'крановый')",1
"('бурильный', 'крановый', 'тс')",1
"('крановый', 'тс', 'фронтальный')",1
"('тс', 'фронтальный', 'вилочный')",1
"('фронтальный', 'вилочный', 'автопогрузчик')",1
"('вилочный', 'автопогрузчик', 'маслозаправщик')",1
"('автопогрузчик', 'маслозаправщик', 'топливозаправщик')",1
"('маслозаправщик', 'топливозаправщик', 'аварийный')",1
"('топливозаправщик', 'аварийный', 'автомобиль')",1
"('аварийный', 'автомобиль', 'автолаборатория')",1
"('автомобиль', 'автолаборатория', 'автолавка')",1
"('автолаборатория', 'автолавка', 'автомастерская')",1
"('автолавка', 'автомастерская', 'автомобиль')",1
"('автомастерская', 'автомобиль', 'специальный')",1
"('автомобиль', 'специальный', 'парогенераторный')",1
"('специальный', 'парогенераторный', 'установка')",1
"('парогенераторный', 'установка', 'автоподъемник')",1
"('установка', 'автоподъемник', 'платформа')",1
"('автоподъемник', 'платформа', 'бортовой')",1
"('платформа', 'бортовой', 'кму')",1
"('бортовой', 'кму', 'лесовоз')",1
"('лесовоз', 'кму', 'автомастерская')",1
"('кму', 'автомастерская', 'кму')",1
"('автомастерская', 'кму', 'мультилифт')",1
"('кму', 'мультилифт', 'кму')",1
"('мультилифт', 'кму', 'самосвал')",1
"('кму', 'самосвал', 'кму')",1
"('сортиментовоз', 'кму', 'тягач')",1
"('кму', 'тягач', 'седельный')",1
"('седельный', 'кму', 'эвакуатор')",1
"('кму', 'эвакуатор', 'эвакуатор')",1
"('эвакуатор', 'эвакуатор', 'кму')",1
"('эвакуатор', 'кму', 'прицеп')",1
"('кму', 'прицеп', 'дизель')",1
"('прицеп', 'дизель', 'генератор')",1
"('дизель', 'генератор', 'прицеп')",1
"('генератор', 'прицеп', 'компрессор')",1
"('прицеп', 'компрессор', 'прицеп')",1
"('компрессор', 'прицеп', 'бортовой')",1
"('бортовой', 'прицеп', 'промтоварный')",1
"('прицеп', 'промтоварный', 'прицеп')",1
"('промтоварный', 'прицеп', 'самосвальный')",1
"('прицеп', 'самосвальный', 'прицеп')",1
"('самосвальный', 'прицеп', 'инсинератор')",1
"('прицеп', 'инсинератор', 'прицеп')",1
"('инсинератор', 'прицеп', 'трейлер')",1
"('прицеп', 'трейлер', 'жатка')",1
"('трейлер', 'жатка', 'прицеп')",1
"('жатка', 'прицеп', 'цистерна')",1
"('прицеп', 'цистерна', 'прицеп')",1
"('цистерна', 'прицеп', 'контейнеровоз')",1
"('контейнеровоз', 'прицеп', 'лесовоз')",1
"('прицеп', 'лесовоз', 'прицепной')",1
"('лесовоз', 'прицепной', 'установка')",1
"('прицепной', 'установка', 'ремонт')",1
"('установка', 'ремонт', 'дорога')",1
"('ремонт', 'дорога', 'прицеп')",1
"('дорога', 'прицеп', 'роспуск')",1
"('прицеп', 'роспуск', 'прицеп')",1
"('роспуск', 'прицеп', 'сортиментовоз')",1
"('прицеп', 'сортиментовоз', 'полуприцеп')",1
"('сортиментовоз', 'полуприцеп', 'изотермический')",1
"('полуприцеп', 'изотермический', 'полуприцеп')",1
"('изотермический', 'полуприцеп', 'самосвальный')",1
"('полуприцеп', 'самосвальный', 'полуприцеп')",1
"('самосвальный', 'полуприцеп', 'автовоз')",1
"('полуприцеп', 'автовоз', 'полуприцеп')",1
"('автовоз', 'полуприцеп', 'зерновоз')",1
"('полуприцеп', 'зерновоз', 'квадроцикл')",1
"('зерновоз', 'квадроцикл', 'полуприцеп')",1
"('квадроцикл', 'полуприцеп', 'лесовоз')",1
"('полуприцеп', 'лесовоз', 'полуприцеп')",1
"('лесовоз', 'полуприцеп', 'панелевоз')",1
"('полуприцеп', 'панелевоз', 'полуприцеп')",1
"('панелевоз', 'полуприцеп', 'птицевоз')",1
"('полуприцеп', 'птицевоз', 'полуприцеп')",1
"('птицевоз', 'полуприцеп', 'рефрижератор')",1
"('полуприцеп', 'рефрижератор', 'полуприцеп')",1
"('рефрижератор', 'полуприцеп', 'скотовоз')",1
"('полуприцеп', 'скотовоз', 'полуприцеп')",1
"('скотовоз', 'полуприцеп', 'сортиментовоз')",1
"('полуприцеп', 'сортиментовоз', 'полуприцеп')",1
"('сортиментовоз', 'полуприцеп', 'стекловоз')",1
"('полуприцеп', 'стекловоз', 'полуприцеп')",1
"('стекловоз', 'полуприцеп', 'трал')",1
"('полуприцеп', 'трал', 'полуприцеп')",1
"('трал', 'полуприцеп', 'тушевоз')",1
"('полуприцеп', 'тушевоз', 'полуприцеп')",1
"('тушевоз', 'полуприцеп', 'цветовоз')",1
"('полуприцеп', 'цветовоз', 'полуприцеп')",1
"('цветовоз', 'полуприцеп', 'цементовоз')",1
"('полуприцеп', 'цементовоз', 'полуприцеп')",1
"('цементовоз', 'полуприцеп', 'цистерна')",1
"('полуприцеп', 'цистерна', 'мультилифт')",1
"('цистерна', 'мультилифт', 'крюковой')",1
"('мультилифт', 'крюковой', 'погрузчик')",1
"('крюковой', 'погрузчик', 'полуприцеп')",1
"('погрузчик', 'полуприцеп', 'щеповоз')",1
"('полуприцеп', 'щеповоз', 'вилочный')",1
"('щеповоз', 'вилочный', 'электропогрузчик')",1
"('вилочный', 'электропогрузчик', 'самосвал')",1
"('электропогрузчик', 'самосвал', 'ричстакер')",1
"('самосвал', 'ричстакер', 'ричтрак')",1
"('ричстакер', 'ричтрак', 'погрузчик')",1
"('ричтрак', 'погрузчик', 'прицеп')",1
"('погрузчик', 'прицеп', 'ломовоз')",1
"('прицеп', 'ломовоз', 'электротележка')",1
"('ломовоз', 'электротележка', 'электроштабелер')",1
"('электротележка', 'электроштабелер', 'коммунальный')",1
"('электроштабелер', 'коммунальный', 'трактор')",1
"('коммунальный', 'трактор', 'трактор')",1
"('трактор', 'трактор', 'борона')",1
"('трактор', 'борона', 'комбайн')",1
"('борона', 'комбайн', 'кормораздатчик')",1
"('комбайн', 'кормораздатчик', 'косилка')",1
"('кормораздатчик', 'косилка', 'культиватор')",1
"('косилка', 'культиватор', 'машина')",1
"('культиватор', 'машина', 'внесение')",1
"('машина', 'внесение', 'удобрение')",1
"('внесение', 'удобрение', 'опрыскиватель')",1
"('удобрение', 'опрыскиватель', 'очиститель')",1
"('опрыскиватель', 'очиститель', 'ворох')",1
"('очиститель', 'ворох', 'плуг')",1
"('ворох', 'плуг', 'сеялка')",1
"('плуг', 'сеялка', 'самосвал')",1
"('сеялка', 'самосвал', 'сочленять')",1
"('самосвал', 'сочленять', 'дреноукладчик')",1
"('сочленять', 'дреноукладчик', 'каналокопатель')",1
"('дреноукладчик', 'каналокопатель', 'траншеекопатель')",1
"('каналокопатель', 'траншеекопатель', 'экскаватор')",1
"('траншеекопатель', 'экскаватор', 'многоковшовый')",1
"('экскаватор', 'многоковшовый', 'экскаватор')",1
"('многоковшовый', 'экскаватор', 'одноковшовый')",1
"('одноковшовый', 'гусеничный', 'бульдозер')",1
"('гусеничный', 'бульдозер', 'колесный')",1
"('бульдозер', 'колесный', 'бульдозер')",1
"('колесный', 'бульдозер', 'грейдер')",1
"('бульдозер', 'грейдер', 'скрепер')",1
"('грейдер', 'скрепер', 'каток')",1
"('скрепер', 'каток', 'полуприцепной')",1
"('каток', 'полуприцепной', 'каток')",1
"('полуприцепной', 'каток', 'прицепной')",1
"('каток', 'прицепной', 'каток')",1
"('прицепной', 'каток', 'самоходный')",1
"('каток', 'самоходный', 'асфальтоукладчик')",1
"('самоходный', 'асфальтоукладчик', 'бетоносмеситель')",1
"('асфальтоукладчик', 'бетоносмеситель', 'разметочный')",1
"('бетоносмеситель', 'разметочный', 'машина')",1
"('разметочный', 'машина', 'растворонасос')",1
"('машина', 'растворонасос', 'фреза')",1
"('растворонасос', 'фреза', 'дорожный')",1
"('фреза', 'дорожный', 'бурильный')",1
"('дорожный', 'бурильный', 'крановый')",1
"('крановый', 'машина', 'буровой')",1
"('машина', 'буровой', 'машина')",1
"('буровой', 'машина', 'копер')",1
"('машина', 'копер', 'форвардер')",1
"('копер', 'форвардер', 'харвестер')",1
"('форвардер', 'харвестер', 'коммунальный')",1
"('харвестер', 'коммунальный', 'машина')",1
"('коммунальный', 'машина', 'машина')",1
"('машина', 'машина', 'уборка')",1
"('машина', 'уборка', 'помещение')",1
"('уборка', 'помещение', 'газовый')",1
"('помещение', 'газовый', 'погрузчик')",1
"('газовый', 'погрузчик', 'башенный')",1
"('погрузчик', 'башенный', 'кран')",1
"('башенный', 'кран', 'самоходный')",1
"('кран', 'самоходный', 'кран')",1
"('самоходный', 'кран', 'трубоукладчик')",1
"('кран', 'трубоукладчик', 'мини')",1
"('трубоукладчик', 'мини', 'погрузчик')",1
"('мини', 'погрузчик', 'телескопический')",1
"('погрузчик', 'телескопический', 'автопогрузчик')",1
"('телескопический', 'автопогрузчик', 'мотоцикл')",1
"('автопогрузчик', 'мотоцикл', 'экскаватор')",1
"('мотоцикл', 'экскаватор', 'погрузчик')",1
"('экскаватор', 'погрузчик', 'вагон')",1
"('погрузчик', 'вагон', 'дом')",1
"('вагон', 'дом', 'прицеп')",1
"('дом', 'прицеп', 'тракторный')",1
"('прицеп', 'тракторный', 'самосвальный')",1
"('тракторный', 'самосвальный', 'прицеп')",1
"('самосвальный', 'прицеп', 'зерновоз')",1
"('прицеп', 'зерновоз', 'прицеп')",1
"('зерновоз', 'прицеп', 'опрыскиватель')",1
"('прицеп', 'опрыскиватель', 'прицеп')",1
"('опрыскиватель', 'прицеп', 'рециклер')",1
"('прицеп', 'рециклер', 'прицеп')",1
"('рециклер', 'прицеп', 'смешиватель')",1
"('прицеп', 'смешиватель', 'компрессор')",1
"('смешиватель', 'компрессор', 'вилочный')",1
"('компрессор', 'вилочный', 'автопогрузчик')",1
"('вилочный', 'автопогрузчик', 'укладчик')",1
"('автопогрузчик', 'укладчик', 'обочина')",1
"('укладчик', 'обочина', 'установка')",1
"('обочина', 'установка', 'гнб')",1
"('установка', 'гнб', 'прицеп')",1
"('гнб', 'прицеп', 'самосвал')",1
"('прицеп', 'самосвал', 'агрегат')",1
"('самосвал', 'агрегат', 'депарафинизация')",1
"('депарафинизация', 'скважина', 'дробильный')",1
"('скважина', 'дробильный', 'установка')",1
"('дробильный', 'установка', 'жилой')",1
"('установка', 'жилой', 'модуль')",1
"('жилой', 'модуль', 'ломовоз')",1
"('модуль', 'ломовоз', 'кму')",1
"('ломовоз', 'кму', 'мобильный')",1
"('кму', 'мобильный', 'бетонный')",1
"('мобильный', 'бетонный', 'завод')",1
"('бетонный', 'завод', 'очиститель')",1
"('завод', 'очиститель', 'подборщик')",1
"('очиститель', 'подборщик', 'перегружатель')",1
"('подборщик', 'перегружатель', 'асфальт')",1
"('перегружатель', 'асфальт', 'полуприцеп')",1
"('асфальт', 'полуприцеп', 'муковоз')",1
"('полуприцеп', 'муковоз', 'прицеп')",1
"('муковоз', 'прицеп', 'измельчитель')",1
"('прицеп', 'измельчитель', 'прицеп')",1
"('измельчитель', 'прицеп', 'пескоразбрасыватель')",1
"('прицеп', 'пескоразбрасыватель', 'самосвал')",1
"('пескоразбрасыватель', 'самосвал', 'карьерный')",1
"('самосвал', 'карьерный', 'прицеп')",1
"('карьерный', 'прицеп', 'парогенератор')",1
"('прицеп', 'парогенератор', 'мини')",1
"('парогенератор', 'мини', 'экскаватор')",1
"('мини', 'экскаватор', 'сварочный')",1
"('экскаватор', 'сварочный', 'агрегат')",1
"('сварочный', 'агрегат', 'смеситель')",1
"('агрегат', 'смеситель', 'кормораздатчик')",1
"('смеситель', 'кормораздатчик', 'снегоочиститель')",1
"('кормораздатчик', 'снегоочиститель', 'установка')",1
"('снегоочиститель', 'установка', 'смесительный')",1
"('установка', 'смесительный', 'экскаватор')",1
"('смесительный', 'экскаватор', 'перегружатель')",1
"('экскаватор', 'перегружатель', 'экскаватор')",1
"('перегружатель', 'экскаватор', 'планировщик')",1
"('экскаватор', 'планировщик', 'прицеп')",1
"('планировщик', 'прицеп', 'скотовоз')",1
"('прицеп', 'скотовоз', 'укладчик')",1
"('скотовоз', 'укладчик', 'плитка')",1
"('укладчик', 'плитка', 'сортировочный')",1
"('плитка', 'сортировочный', 'установка')",1
"('сортировочный', 'установка', 'мульчер')",1
"('установка', 'мульчер', 'валочный')",1
"('мульчер', 'валочный', 'пакетировать')",1
"('валочный', 'пакетировать', 'прицеп')",1
"('пакетировать', 'прицеп', 'рулоновоз')",1
"('прицеп', 'рулоновоз', 'полуприцеп')",1
"('рулоновоз', 'полуприцеп', 'шторный')",1
"('полуприцеп', 'шторный', 'прицеп')",1
"('шторный', 'прицеп', 'мультилифт')",1
"('прицеп', 'мультилифт', 'полуприцеп')",1
"('мультилифт', 'полуприцеп', 'платформа')",1
"('полуприцеп', 'платформа', 'буровой')",1
"('буровой', 'установка', 'бетоносмеситель')",1
"('установка', 'бетоносмеситель', 'прицеп')",1
"('бетоносмеситель', 'прицеп', 'бортовой')",1
"('прицеп', 'бортовой', 'лущильник')",1
"('бортовой', 'лущильник', 'машина')",1
